priority,year,title,authors,venue,topic,why,doi,landing,pdf,access,auto_download
S,2026,Reinforcement Learning Based Symbolic Regression for Load Modeling,Ding Lin; Han Guo; Jianhui Wang; Meng Yue; Tianqiao Zhao,IEEE Open Access Journal of Power and Energy / arXiv,自由结构动态负荷模型发现 / 符号回归,当前与你的 LLM-SR + 负荷建模想法最直接相邻的工作：用 Actor-Critic 搜索可解释方程结构。,10.1109/OAJPE.2026.3672033,https://arxiv.org/abs/2503.06879,https://arxiv.org/pdf/2503.06879,OA,yes
S,2025,Symbolic Equation Modeling of Composite Loads: A Kolmogorov-Arnold Network based Learning Approach,Sonam Dorji; Yongkang Sun; Yuchen Zhang; Ghavameddin Nourbakhsh; Yateendra Mishra; Yan Xu,arXiv,自由结构综合负荷方程 / KAN,不预设固定负荷结构，直接学习可解释符号方程；与 LLM-SR 的结构发现非常接近。,,https://arxiv.org/abs/2508.19612,https://arxiv.org/pdf/2508.19612,OA,yes
S,2024,Free-Form Dynamic Load Model Synthesis With Symbolic Regression Based on Sparse Dictionary Learning,You Lin; Jianhui Wang; Meng Yue,IEEE Transactions on Power Systems 39(2):2438-2447,自由结构动态负荷模型 / 稀疏字典 / 符号回归,在 LLM-SR 之前已经把动态负荷建模推进到自动合成自由结构方程，是必须精读的直接前驱。,10.1109/TPWRS.2023.3270139,https://doi.org/10.1109/TPWRS.2023.3270139,,publisher/request,no
S,2022,A Generic Dynamic Load Model Framework,You Lin; Jianhui Wang,Journal of Modern Power Systems and Clean Energy 10(2):399-406,通用动态负荷模型 / 物理函数库 / 自动选项,把动态响应表示成物理驱动函数的叠加并自动选择稀疏项，是后续自由结构模型发现的重要基础。,10.35833/MPCE.2020.000642,https://doi.org/10.35833/MPCE.2020.000642,,OA landing,no
S,2026,PMU measurements enabled real-time adaptive load modeling framework,Manish Pandit; Ranjana Sodhi,Electric Power Systems Research 251:112182,实时自适应负荷建模 / PMU / 模型切换,与 IIMM 最相近的最新方向之一：根据运行状态切换 ZIP 与复合动态模型，并在线估计参数。,10.1016/j.epsr.2025.112182,https://doi.org/10.1016/j.epsr.2025.112182,,paywall/request,no
S,2026,基于动态响应特征学习的综合负荷模型构成在线辨识,程颖; 董炜; 姜震韬; 汤奕; 冯长有,浙江电力 45(3):85-95,负荷构成在线辨识 / CNN + Attention / 光伏储能,直接识别当前负荷由什么组成，并面向含光伏和储能的有源综合负荷，是模型库动态更新的重要拼图。,10.19585/j.zjdl.202603008,https://zjdl.cbpt.cnki.net/portal/journal/portal/client/paper/6c2a3e03afc7150084bfc60393b1716e,https://epjournal.csee.org.cn/rc-pub/front/front-article/download/153308078/lowqualitypdf/%E5%9F%BA%E4%BA%8E%E5%8A%A8%E6%80%81%E5%93%8D%E5%BA%94%E7%89%B9%E5%BE%81%E5%AD%A6%E4%B9%A0%E7%9A%84%E7%BB%BC%E5%90%88%E8%B4%9F%E8%8D%B7%E6%A8%A1%E5%9E%8B%E6%9E%84%E6%88%90%E5%9C%A8%E7%BA%BF%E8%BE%A8%E8%AF%86.pdf,OA/best-effort direct,yes
S,2026,电力系统广义负荷建模及动静参数辨识方法,郑宗生; 夏俊康; 廖建权; 等,高电压技术 52(2):694-706,多场景广义负荷模型 / 动静模式切换 / RLS,用动静模式切换判据和递推最小二乘实现实时跟踪，与模型路由 + 参数更新非常贴近。,10.13336/j.1003-6520.hve.20250089,https://epjournal.csee.org.cn/zh/article/doi/10.13336/j.1003-6520.hve.20250089/?viewType=HTML,,official landing; PDF may require site access,no
S,2026,Diffusion model-based parameter estimation in dynamic power systems,Feiqin Zhu; Dmitrii Torbunov; Zhongjing Jiang; Tianqiao Zhao; et al.,Communications Engineering 5:123,参数非唯一性 / 概率后验 / 扩散模型逆问题,正面处理 Identifiability：不同参数组合可产生同样响应，输出参数分布而非单点，是可信建模的关键。,10.1038/s44172-026-00670-z,https://www.nature.com/articles/s44172-026-00670-z,https://www.nature.com/articles/s44172-026-00670-z.pdf,OA,yes
A,2025,Tailoring and verification of dynamic load models in power system studies: the WECC load example,Mark Transtrum; Aleksandar Stankovic; Clifford C. Youn,"Sustainable Energy, Grids and Networks 44:101970",模型简化 / 可辨识性 / 信息几何 / WECC,研究复杂动态负荷模型怎样简化并验证，直接对应低误差不等于真实结构的问题。,10.1016/j.segan.2025.101970,https://doi.org/10.2139/ssrn.5069032,,SSRN download,no
A,2025,High-Dimension Bayesian Parameter Estimation for WECC Composite Load Model Using Realistic Event Measurements,Bendong Tan; Junbo Zhao; Naiyuan Chiang; Nan Duan,IEEE Transactions on Power Systems 40(5):3979-3992,高维 Bayesian 校准 / 实际事件 / CMPLDWG,处理高维参数、真实测量误差和 posterior，不再只追求单组最优参数。,10.1109/TPWRS.2025.3543544,https://doi.org/10.1109/TPWRS.2025.3543544,,publisher / author copy may be available,no
